gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,MonthlyCharges_x_MTM,Tenure_x_Security,MTM_x_NoSecurity,CostPerTenureMonth,Churn
Male,0,No,No,41.0,Yes,No,Fiber optic,Yes,Yes,Two year,Yes,Credit card,22.11,911.32,0.0,41.0,0.0,0.5264285714285715,0
Female,0,Yes,No,68.0,Yes,No phone service,Fiber optic,Yes,No internet service,One year,Yes,Credit card,117.74,8020.29,0.0,68.0,0.0,1.7063768115942028,0
Male,0,No,No,60.0,Yes,No,Fiber optic,No internet service,No,Month-to-month,No,Bank transfer,111.49,6678.61,111.49,0.0,1.0,1.827704918032787,1
Female,0,No,No,12.0,Yes,No phone service,DSL,No internet service,No internet service,Two year,No,Mailed check,32.18,411.96,0.0,0.0,0.0,2.4753846153846153,0
Female,0,No,No,46.0,Yes,No,Fiber optic,No internet service,Yes,Month-to-month,No,Mailed check,47.48,2151.71,47.48,0.0,1.0,1.0102127659574467,0
Female,0,No,No,48.0,Yes,No phone service,No,Yes,No internet service,Month-to-month,Yes,Credit card,83.9,4018.68,83.9,48.0,0.0,1.7122448979591838,0
Female,0,No,No,55.0,Yes,No phone service,DSL,No internet service,No internet service,Month-to-month,Yes,Credit card,106.05,5833.17,106.05,0.0,1.0,1.89375,0
Male,0,Yes,No,38.0,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,72.22,2763.94,72.22,38.0,0.0,1.8517948717948718,0
Female,0,No,Yes,52.0,Yes,No phone service,No,No internet service,No internet service,One year,No,Credit card,69.3,3631.85,0.0,0.0,0.0,1.3075471698113208,0
Male,0,No,No,42.0,Yes,Yes,DSL,No,No,Two year,Yes,Credit card,29.97,1286.52,0.0,0.0,0.0,0.6969767441860465,0
Female,0,No,No,19.0,Yes,No,DSL,Yes,Yes,One year,Yes,Bank transfer,90.39,1720.64,0.0,19.0,0.0,4.5195,0
Female,0,Yes,No,35.0,Yes,Yes,Fiber optic,No internet service,No internet service,One year,No,Bank transfer,67.93,2400.21,0.0,0.0,0.0,1.8869444444444445,0
Male,1,No,No,67.0,Yes,No phone service,No,No internet service,Yes,Month-to-month,No,Credit card,28.43,1918.13,28.43,0.0,1.0,0.41808823529411765,0
Female,0,Yes,No,60.0,Yes,Yes,DSL,No internet service,No,One year,Yes,Mailed check,109.23,6556.41,0.0,0.0,0.0,1.7906557377049181,0
Female,1,No,No,46.0,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,41.74,1910.06,41.74,46.0,0.0,0.8880851063829788,0
Male,0,No,No,23.0,Yes,No phone service,DSL,No,Yes,One year,No,Mailed check,71.27,1643.91,0.0,0.0,0.0,2.969583333333333,0
Male,0,No,Yes,15.0,Yes,No phone service,Fiber optic,No,No internet service,Month-to-month,No,Credit card,101.4,1546.33,101.4,0.0,1.0,6.3375,1
Male,0,No,No,21.0,Yes,No,No,No,No internet service,Month-to-month,No,Bank transfer,85.49,1797.05,85.49,0.0,1.0,3.8859090909090908,0
Male,0,Yes,Yes,22.0,Yes,Yes,DSL,No,No internet service,Month-to-month,No,Bank transfer,41.46,904.54,41.46,0.0,1.0,1.8026086956521739,0
Male,0,Yes,No,69.0,Yes,No,Fiber optic,Yes,No internet service,Month-to-month,Yes,Electronic check,117.96,8162.39,117.96,69.0,0.0,1.685142857142857,1
Female,0,Yes,No,38.0,No,No,DSL,No,No,One year,Yes,Credit card,27.29,1028.24,0.0,0.0,0.0,0.6997435897435897,0
Female,0,No,No,28.0,Yes,No phone service,Fiber optic,Yes,No internet service,Month-to-month,No,Bank transfer,98.54,2770.29,98.54,28.0,0.0,3.3979310344827587,0
Male,0,No,No,63.0,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card,64.42,4066.26,64.42,63.0,0.0,1.0065625,0
Female,0,No,No,27.0,Yes,No phone service,DSL,No internet service,No,Month-to-month,Yes,Electronic check,25.22,699.05,25.22,0.0,1.0,0.9007142857142857,0
Female,0,No,No,57.0,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,42.26,2424.96,42.26,57.0,0.0,0.7286206896551723,0
Male,0,No,Yes,46.0,Yes,No,No,No internet service,Yes,Month-to-month,No,Bank transfer,26.33,1224.49,26.33,0.0,1.0,0.5602127659574467,0
Female,0,Yes,No,22.0,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card,38.7,844.94,38.7,0.0,1.0,1.682608695652174,1
Female,1,No,Yes,69.0,Yes,Yes,No,No internet service,No internet service,One year,Yes,Credit card,106.47,7336.14,0.0,0.0,0.0,1.521,0
Female,1,No,Yes,49.0,Yes,No,No,No,No internet service,Month-to-month,Yes,Bank transfer,47.25,2321.76,47.25,0.0,1.0,0.945,0
Female,0,Yes,No,71.0,Yes,No phone service,DSL,No internet service,No internet service,One year,No,Mailed check,79.08,5619.46,0.0,0.0,0.0,1.0983333333333334,0
Female,0,No,No,1.0,Yes,No phone service,Fiber optic,No,Yes,One year,No,Credit card,37.96,87.48,0.0,0.0,0.0,18.98,1
Male,0,No,No,20.0,Yes,Yes,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Bank transfer,42.49,856.97,42.49,0.0,1.0,2.0233333333333334,1
Female,0,No,Yes,24.0,Yes,Yes,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Bank transfer,53.27,,53.27,0.0,1.0,2.1308000000000002,1
Female,1,No,No,48.0,Yes,Yes,Fiber optic,No internet service,No,Month-to-month,No,Electronic check,112.78,5402.21,112.78,0.0,1.0,2.3016326530612243,0
Male,0,No,Yes,60.0,Yes,No,DSL,No internet service,Yes,Month-to-month,No,Credit card,39.14,2328.1,39.14,0.0,1.0,0.6416393442622951,0
Female,0,Yes,Yes,9.0,Yes,No,No,No internet service,No,Month-to-month,No,Electronic check,83.71,,83.71,0.0,1.0,8.370999999999999,0
Male,0,Yes,Yes,11.0,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,Bank transfer,55.23,586.16,0.0,11.0,0.0,4.6025,1
Male,0,No,No,48.0,Yes,Yes,Fiber optic,Yes,No internet service,Month-to-month,Yes,Bank transfer,32.26,1542.78,32.26,48.0,0.0,0.6583673469387755,0
Male,1,Yes,No,26.0,Yes,No,Fiber optic,Yes,No internet service,Month-to-month,Yes,Bank transfer,73.45,1929.12,73.45,26.0,0.0,2.7203703703703703,0
Female,0,No,Yes,50.0,Yes,Yes,Fiber optic,Yes,No,Two year,Yes,Credit card,55.29,2773.0,0.0,50.0,0.0,1.0841176470588234,0
Male,0,Yes,Yes,1.0,Yes,Yes,Fiber optic,No internet service,No,One year,No,Credit card,105.28,85.77,0.0,0.0,0.0,52.64,0
Male,0,No,No,38.0,No,No,Fiber optic,Yes,Yes,Two year,No,Electronic check,110.57,4189.62,0.0,38.0,0.0,2.8351282051282047,0
Male,1,No,No,2.0,Yes,No phone service,No,No,Yes,Month-to-month,No,Credit card,75.02,147.91,75.02,0.0,1.0,25.006666666666664,1
Female,0,No,Yes,68.0,Yes,No phone service,No,No internet service,Yes,One year,No,Bank transfer,47.35,3212.99,0.0,0.0,0.0,0.6862318840579711,0
Female,0,Yes,No,11.0,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,71.19,766.08,0.0,11.0,0.0,5.9325,0
Male,1,No,No,13.0,Yes,No phone service,Fiber optic,No,No,Two year,No,Credit card,106.5,1335.33,0.0,0.0,0.0,7.607142857142857,0
Male,0,No,No,8.0,Yes,No phone service,No,Yes,Yes,Month-to-month,No,Credit card,85.48,662.64,85.48,8.0,0.0,9.497777777777777,0
Female,1,Yes,Yes,16.0,Yes,Yes,DSL,No,No,Month-to-month,No,Credit card,26.67,406.61,26.67,0.0,1.0,1.5688235294117647,0
Male,0,No,No,35.0,Yes,Yes,Fiber optic,No internet service,Yes,Month-to-month,No,Mailed check,24.44,878.27,24.44,0.0,1.0,0.6788888888888889,0
Female,0,Yes,No,44.0,Yes,Yes,DSL,No internet service,No internet service,One year,No,Credit card,33.46,1500.24,0.0,0.0,0.0,0.7435555555555555,0
Male,0,No,No,64.0,Yes,No phone service,Fiber optic,No,No internet service,Month-to-month,Yes,Bank transfer,74.62,4738.21,74.62,0.0,1.0,1.1480000000000001,0
Female,0,Yes,No,63.0,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,34.79,2206.88,34.79,0.0,1.0,0.54359375,0
Male,0,No,No,7.0,Yes,Yes,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Credit card,43.41,328.28,43.41,0.0,1.0,5.42625,0
Male,0,No,No,31.0,Yes,No phone service,Fiber optic,Yes,No internet service,Month-to-month,Yes,Mailed check,70.81,2179.76,70.81,31.0,0.0,2.2128125,0
Female,0,No,No,62.0,Yes,Yes,Fiber optic,No,No,Two year,Yes,Electronic check,74.62,4593.94,0.0,0.0,0.0,1.1844444444444444,0
Male,0,No,Yes,12.0,Yes,No,DSL,No,No,Month-to-month,Yes,Bank transfer,100.47,1238.48,100.47,0.0,1.0,7.728461538461539,0
Female,0,No,No,48.0,Yes,No phone service,No,No,No internet service,Two year,Yes,Credit card,61.68,2956.9,0.0,0.0,0.0,1.2587755102040816,0
Female,0,No,No,31.0,Yes,No phone service,DSL,Yes,No,Month-to-month,No,Mailed check,95.78,2994.71,95.78,31.0,0.0,2.993125,0
Female,0,Yes,No,12.0,No,Yes,DSL,No internet service,Yes,One year,No,Bank transfer,25.95,313.11,0.0,0.0,0.0,1.9961538461538462,0
Female,1,No,No,5.0,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,Credit card,72.22,390.59,72.22,5.0,0.0,12.036666666666667,1
Female,1,Yes,Yes,21.0,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,60.95,1289.22,60.95,0.0,1.0,2.7704545454545455,0
Male,0,No,No,1.0,Yes,Yes,Fiber optic,Yes,No internet service,Two year,No,Electronic check,110.47,103.29,0.0,1.0,0.0,55.235,0
Male,0,No,No,14.0,Yes,No phone service,Fiber optic,No internet service,No,Month-to-month,No,Credit card,90.03,1250.79,90.03,0.0,1.0,6.002,1
Male,0,No,No,39.0,Yes,No phone service,Fiber optic,Yes,No internet service,Month-to-month,Yes,Bank transfer,87.15,3387.27,87.15,39.0,0.0,2.17875,0
Female,0,Yes,No,57.0,Yes,No,DSL,No,No,Two year,Yes,Mailed check,108.48,6179.34,0.0,0.0,0.0,1.870344827586207,0
Male,0,Yes,Yes,36.0,Yes,No,DSL,No internet service,No,Month-to-month,Yes,Credit card,42.77,1538.39,42.77,0.0,1.0,1.155945945945946,1
Male,0,No,Yes,52.0,Yes,Yes,DSL,No internet service,Yes,Two year,Yes,Mailed check,93.78,4883.93,0.0,0.0,0.0,1.769433962264151,0
Male,0,No,No,6.0,Yes,No phone service,Fiber optic,Yes,Yes,Month-to-month,Yes,Credit card,104.62,619.85,104.62,6.0,0.0,14.945714285714287,0
Male,0,Yes,No,22.0,Yes,No phone service,DSL,No,No,Month-to-month,No,Mailed check,117.28,2615.35,117.28,0.0,1.0,5.099130434782609,0
Male,0,Yes,No,47.0,Yes,No phone service,Fiber optic,No,No internet service,One year,No,Mailed check,60.91,2895.11,0.0,0.0,0.0,1.2689583333333332,0
Male,0,No,No,4.0,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,84.59,344.13,84.59,4.0,0.0,16.918,1
